ARTICULO;PROVEEDOR;DESCRIPCION;AÑASCO;MDP;ROS;COR;NEU
7PK2035-9 HD;GATES;K070801HD;-1;0;0;0;0
7PK2710-4;GATES;7PK2710XS;-1;0;0;0;0
8PK1410-4;GATES;K080555;-1;0;0;0;0
8PK1615-9;GATES;K080635 / 8PK1615 / 8PK1619;-1;0;0;0;0
8PK1710-4;GATES;K080675 / 8PK1715;-1;0;0;0;0
8PK1855-9;GATES;K080730;-1;0;0;0;0
8PK2080-4;GATES;K080820 / 8PK2080;-1;0;0;0;0
99104X17XS;GATES;CO DIST 99104X17XS/5575XS/T1629 PEUGEOT/ CITROEN 1.4;-1;0;0;0;0
99104X22XS;GATES;CO DIST 99104X22XS/5593XS HONDA VTEC;-1;0;0;0;0
AP19525;AP SUSPENSION;ROTULA IZQ/DER-INF TOYOTA HILUX 05 ->;-1;0;0;0;0
AP22497;AP SUSPENSION;EXTREMO IZQ/DER TOYOTA HILUX 05 ->;-1;0;0;0;0
AP28598;AP SUSPENSION;ROTULA IZQ-INF FIAT GRAND SIENA 12->FIAT IDEA 13->;-1;0;0;0;0
AP28599;AP SUSPENSION;ROTULA DER-INF FIAT GRAND SIENA 12->FIAT IDEA 13->;-1;0;0;0;0
AP4570;AUTOPARTES PAULUCCI;CIL MAESTRO EMB FIAT PALIO/SIENA/IDEA/STRADA;-1;0;0;0;0
AP6003;AUTOPARTES PAULUCCI;TUBO VASO DE EXPANSION PEUG 307 /CITR C4 MOT 1.6;-1;0;0;0;0
AP6040;AUTOPARTES PAULUCCI;TUBO VASO DE EXPANSION Ecosport;-1;0;0;0;0
AP7003;AUTOPARTES PAULUCCI;TUBO CILINDRO MAESTRO PEUG 307/308 /CITR C3/C4;-1;0;0;0;0
AP9172;AUTOPARTES PAULUCCI;CIL MAESTRO EMBRAGUE RENAULT MEGANEII FLUENCEII SCENIC II;-1;0;0;0;0
AP9271;AUTOPARTES PAULUCCI;CIL MAESTRO RENAUL MASTER III 2013 +;-1;0;0;0;0
BA131;VMG;BBA DE AGUA CAMIONES D750 // D950 EQUIP;-1;0;0;0;0
BA337;VMG;BBA DE AGUA MAZDA 131 1.3 -FORD KA MODE;-1;0;0;0;0
BA447;VMG;BBA DE AGUA AUDI A3 // A4 // A6 1.9 TDI MOT. VENTO 2.L TD CNCO;-1;0;0;0;0
